,sum_tx_matic,avg_tx_gas_cost,tx_date
203,47165302.100549,0.005945869807153361,2021-07-23
204,39661753.54191765,0.005240379597754845,2021-07-24
205,23396951.82815954,0.0039181603472082695,2021-07-25
206,50590541.27989091,0.008662385987229298,2021-07-26
207,46467943.16468732,0.006362281605310231,2021-07-27
208,32812423.03412834,0.004746499611921713,2021-07-28
209,72042203.24865583,0.002440250465892309,2021-07-29
210,61331249.48746266,0.0036604854229955897,2021-07-30
211,40036688.29017876,0.00249194971226328,2021-07-31
212,37002156.639786884,0.0026760679986563302,2021-08-01
213,40849048.74304721,0.004040082304158619,2021-08-02
214,40374508.07783076,0.004751840672786637,2021-08-03
215,46824040.478946716,0.003769829019485921,2021-08-04
216,41127052.880989425,0.007838373152492117,2021-08-05
217,32567807.143602535,0.004722477503279908,2021-08-06
218,39681396.5361039,0.005953289004201926,2021-08-07
219,45513704.55503978,0.006479840541702006,2021-08-08
220,43798367.66529094,0.004501326411838775,2021-08-09
221,60121911.78654646,0.0077780350174338035,2021-08-10
222,91078312.28000733,0.012642525203432826,2021-08-11
223,48520632.71253124,0.01317581416355514,2021-08-12
224,50667571.163591996,0.013393352977539172,2021-08-13
225,38385694.54364433,0.009731999277368763,2021-08-14
226,35429984.421118125,0.009441961398273501,2021-08-15
227,53081452.6048869,0.008503236991031917,2021-08-16
228,50991696.36422439,0.009969951735866893,2021-08-17
229,44266964.69949539,0.01231271779139738,2021-08-18
230,37024877.934062906,0.012353986185476243,2021-08-19
231,48143182.97447807,0.01429006494204931,2021-08-20
232,57653210.11967931,0.01327098683898486,2021-08-21
233,31468351.913986836,0.016791837527731467,2021-08-22
234,32543650.418356974,0.04178112747445587,2021-08-23
235,41283578.80436813,0.03757789329358584,2021-08-24
236,31194320.065817907,0.04368100363051064,2021-08-25
237,32671191.587403767,0.023474100340408453,2021-08-26
238,32032890.40642004,0.01556002804325304,2021-08-27
239,38879604.62834598,0.026932863886339743,2021-08-28
240,34315705.90427323,0.020760401713147563,2021-08-29
241,54691952.93043923,0.019935805816235982,2021-08-30
242,62565486.688300624,0.017578172488325598,2021-08-31
243,40721037.353932075,0.015588776150240471,2021-09-01
244,40290537.654511586,0.012842225517724095,2021-09-02
245,30289865.26313116,0.010933266554103194,2021-09-03
246,39543004.20625198,0.012282194173502235,2021-09-04
247,53073623.28538343,0.014041293677446632,2021-09-05
248,62653031.78116564,0.0121692750177819,2021-09-06
249,134848479.0872565,0.021287041155355457,2021-09-07
250,93866241.29912959,0.018786035505366543,2021-09-08
251,47935039.25650307,0.0171037028478257,2021-09-09
252,64308605.42564469,0.01744457543370146,2021-09-10
253,46865603.91216148,0.016232426396432995,2021-09-11
254,30848634.005761575,0.014724996700372214,2021-09-12
255,26657105.92757825,0.0173326263567922,2021-09-13
256,26410159.65217943,0.02395159672520257,2021-09-14
257,37801288.21249628,0.02104160851017977,2021-09-15
258,33926779.206328236,0.025266779955041653,2021-09-16
259,27617246.23165603,0.018995774005179152,2021-09-17
260,18296533.34406921,0.03455918126020547,2021-09-18
261,23700660.594780397,0.028099012158445028,2021-09-19
262,39304599.92412595,0.0342177288462451,2021-09-20
263,28722879.29751007,0.02816922169000009,2021-09-21
264,63487694.54365139,0.018462078561898937,2021-09-22
265,41240965.891868524,0.010231670376035878,2021-09-23
266,30844814.778210122,0.01448140020069435,2021-09-24
267,22794607.64016456,0.011919784658818027,2021-09-25
268,29930270.82151764,0.008368488762141472,2021-09-26
269,32455238.039763432,0.005481893392259986,2021-09-27
270,25915369.458297245,0.005516763393398367,2021-09-28
271,22744185.31663952,0.007638577440048091,2021-09-29
272,31525402.38232189,0.01181711838993823,2021-09-30
273,32795908.59648618,0.005660541696029933,2021-10-01
274,27485057.74104135,0.004416390353623403,2021-10-02
275,24242081.665598422,0.005310160257816485,2021-10-03
276,30359988.421827596,0.00508811307425241,2021-10-04
277,27214771.390615303,0.0068318066967881135,2021-10-05
278,29881257.855620243,0.011694603404206808,2021-10-06
279,25211988.03020471,0.01097507420571427,2021-10-07
280,30381624.581982993,0.011038558395281308,2021-10-08
281,17054683.077225044,0.012168552597651486,2021-10-09
282,22969546.56630841,0.012187967957909947,2021-10-10
283,23388531.17704842,0.010965079842644252,2021-10-11
284,26805985.905940033,0.011283602901272349,2021-10-12
285,25820158.619753186,0.010532544155765192,2021-10-13
286,51447696.632477045,0.010779892676352501,2021-10-14
287,120653686.96234724,0.017038919518488974,2021-10-15
288,174709287.18966234,0.011021049127130016,2021-10-16
289,36967282.04523824,0.012769007367580791,2021-10-17
290,79264379.40503599,0.016133778212637197,2021-10-18
291,70670455.09832126,0.011704674104352657,2021-10-19
292,55482663.06106058,0.01422651194228418,2021-10-20
293,81825928.13774262,0.013105917350692324,2021-10-21
294,98136372.54960547,0.011529636015593208,2021-10-22
295,55894452.35028249,0.011291480592100092,2021-10-23
296,38857416.54242342,0.012110426963140247,2021-10-24
297,42132528.26753508,0.012748723050730545,2021-10-25
298,63693695.85128108,0.01207188716896258,2021-10-26
299,68599774.45604482,0.012907451021056017,2021-10-27
300,93643452.65444395,0.016001244248952842,2021-10-28
