Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4023.77/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0x1e1e948d2970ac7c66fb3ece26acb6b0a29867fb991cfb18c720d0dcac9ad5c0,11374193,1606926567,12/2/20 16:29,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.044174582,177.7483578,598.26,,,Borrow
0xdb384f2bfb242de6b85c7cea8cd6284e1d0cc5df3097128470a428533e5ddcad,11374203,1606926683,12/2/20 16:31,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.046300332,186.3018869,598.26,,,Borrow
0x22801d2b097f0811a89105b28eb37a3c12b5addb5f51a380c6f5fefde931f8f3,11374238,1606927116,12/2/20 16:38,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.045935019,184.8319514,598.26,,,Withdraw
0xcf89a5bed5e4bcc607f9c4b9dcda112cf1f2fefa17af39faff4cd23d836053d6,11374245,1606927241,12/2/20 16:40,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.044179044,177.7663119,598.26,,,Withdraw
0xa5ba3a7c3267714aed505ce871df2e5719c8247ac9139503171c96e23bfc1774,11374246,1606927258,12/2/20 16:40,0x39d637737cc76c5849a52c7d3b872a1eb22aa71c,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.006792336,27.33079783,598.26,,,Repay
0x47bffc1fa4ef152bcb90fb0816985829c9fe3ac7962d58dde3cbd7dfdd21bfe8,11374288,1606927865,12/2/20 16:51,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.00701869,28.24159426,598.26,,,Deposit
0x01ab990f2524c160ec39f2781e49b0c416e48afcf24603dd1b5f69bd08e25fa2,11374361,1606928767,12/2/20 17:06,0x39d637737cc76c5849a52c7d3b872a1eb22aa71c,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.017309781,69.65057749,598.26,,,Borrow
0x2df57c06c3606b35f49cd1dc889c431dbe2ba2f2131ae2132902db88967965a2,11374379,1606929016,12/2/20 17:10,0x39d637737cc76c5849a52c7d3b872a1eb22aa71c,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.019504989,78.48358959,598.26,,,Borrow
0xe556f047d6c3333dc4d092d22620364f2a547ea9d49d94767d05862ee9085356,11374403,1606929415,12/2/20 17:16,0x39d637737cc76c5849a52c7d3b872a1eb22aa71c,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.020648134,83.08334215,598.26,,,Borrow
0x58a51264776feb32c8466f56fa0ef07628a6e99689566e090c28eb1b502328c1,11374410,1606929556,12/2/20 17:19,0x39d637737cc76c5849a52c7d3b872a1eb22aa71c,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.019476585,78.36929843,598.26,,,Borrow
0x0fa76a092e8b741d6f3d0f9b8f00fee3a17557d2ca299b5b075f95761b6d1476,11374579,1606931672,12/2/20 17:54,0x39d637737cc76c5849a52c7d3b872a1eb22aa71c,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.021988902,88.4782842,598.26,,,Borrow
0xba78ec569dab315bf39ff0c2b513993b5fa680d9114e9545684f85c0c3d4d4a9,11374607,1606932045,12/2/20 18:00,0x39d637737cc76c5849a52c7d3b872a1eb22aa71c,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.004659807,18.74999161,598.26,,,Repay
